school,year,conference
Drexel,2018,CAA
Drexel,2019,CAA
Drexel,2020,CAA
Drexel,2021,CAA
Drexel,2022,CAA
Drexel,2023,CAA
Drexel,2024,CAA
Duke,2010,ACC
Duke,2011,ACC
Duke,2012,ACC
Duke,2013,ACC
Duke,2014,ACC
Duke,2015,ACC
Duke,2016,ACC
Duke,2017,ACC
Duke,2018,ACC
Duke,2019,ACC
Duke,2020,ACC
Duke,2021,ACC
Duke,2022,ACC
Duke,2023,ACC
Duke,2024,ACC
Duquesne,2010,Atlantic 10
Duquesne,2011,Atlantic 10
Duquesne,2012,Atlantic 10
Duquesne,2013,Atlantic 10
Duquesne,2014,Atlantic 10
Duquesne,2015,Atlantic 10
Duquesne,2016,Atlantic 10
Duquesne,2017,Atlantic 10
Duquesne,2018,Atlantic 10
Duquesne,2019,Atlantic 10
Duquesne,2020,Atlantic 10
Duquesne,2021,Atlantic 10
Duquesne,2022,Atlantic 10
Duquesne,2023,Atlantic 10
Duquesne,2024,Atlantic 10
ETSU,2010,Southern
ETSU,2011,Southern
ETSU,2012,Southern
ETSU,2013,Southern
ETSU,2014,Southern
ETSU,2015,Southern
ETSU,2016,Southern
ETSU,2017,Southern
ETSU,2018,Southern
ETSU,2019,Southern
ETSU,2020,Southern
ETSU,2021,Southern
ETSU,2022,Southern
ETSU,2023,Southern
ETSU,2024,Southern
Eastern Illinois,2010,Ohio Valley
Eastern Illinois,2011,Ohio Valley
Eastern Illinois,2012,Ohio Valley
Eastern Illinois,2013,Ohio Valley
Eastern Illinois,2014,Ohio Valley
Eastern Illinois,2015,Ohio Valley
Eastern Illinois,2016,Ohio Valley
Eastern Illinois,2017,Ohio Valley
Eastern Illinois,2018,Ohio Valley
Eastern Illinois,2019,Ohio Valley
Eastern Illinois,2020,Ohio Valley
Eastern Illinois,2021,Ohio Valley
Eastern Illinois,2022,Ohio Valley
Eastern Illinois,2023,Ohio Valley
Eastern Illinois,2024,Ohio Valley
Eastern Kentucky,2010,Ohio Valley
Eastern Kentucky,2011,Ohio Valley
Eastern Kentucky,2012,Ohio Valley
Eastern Kentucky,2013,Ohio Valley
Eastern Kentucky,2014,Ohio Valley
Eastern Kentucky,2015,Ohio Valley
Eastern Kentucky,2016,Ohio Valley
Eastern Kentucky,2017,Ohio Valley
Eastern Kentucky,2018,Ohio Valley
Eastern Kentucky,2019,Ohio Valley
Eastern Kentucky,2020,Ohio Valley
Eastern Kentucky,2021,Ohio Valley
Eastern Kentucky,2022,Ohio Valley
Eastern Kentucky,2023,Ohio Valley
Eastern Kentucky,2024,Ohio Valley
Eastern Michigan,2010,MAC
Eastern Michigan,2011,MAC
Eastern Michigan,2012,MAC
Eastern Michigan,2013,MAC
Eastern Michigan,2014,MAC
Eastern Michigan,2015,MAC
Eastern Michigan,2016,MAC
Eastern Michigan,2017,MAC
Eastern Michigan,2018,MAC
Eastern Michigan,2019,MAC
Eastern Michigan,2020,MAC
Eastern Michigan,2021,MAC
Eastern Michigan,2022,MAC
Eastern Michigan,2023,MAC
Eastern Michigan,2024,MAC
Eastern Washington,2010,Big Sky
Eastern Washington,2011,Big Sky
Eastern Washington,2012,Big Sky
Eastern Washington,2013,Big Sky
Eastern Washington,2014,Big Sky
Eastern Washington,2015,Big Sky
Eastern Washington,2016,Big Sky
Eastern Washington,2017,Big Sky
Eastern Washington,2018,Big Sky
Eastern Washington,2019,Big Sky
Eastern Washington,2020,Big Sky
Eastern Washington,2021,Big Sky
Eastern Washington,2022,Big Sky
Eastern Washington,2023,Big Sky
Eastern Washington,2024,Big Sky
Elon,2010,CAA
Elon,2011,CAA
Elon,2012,CAA
Elon,2013,CAA
Elon,2014,CAA
Elon,2015,CAA
Elon,2016,CAA
Elon,2017,CAA
Elon,2018,CAA
Elon,2019,CAA
Elon,2020,CAA
Elon,2021,CAA
Elon,2022,CAA
Elon,2023,CAA
Elon,2024,CAA
Evansville,2010,Missouri Valley
Evansville,2011,Missouri Valley
Evansville,2012,Missouri Valley
Evansville,2013,Missouri Valley
Evansville,2014,Missouri Valley
Evansville,2015,Missouri Valley
Evansville,2016,Missouri Valley
Evansville,2017,Missouri Valley
Evansville,2018,Missouri Valley
Evansville,2019,Missouri Valley
Evansville,2020,Missouri Valley
Evansville,2021,Missouri Valley
Evansville,2022,Missouri Valley
Evansville,2023,Missouri Valley
Evansville,2024,Missouri Valley
FAMU,2010,MEAC
FAMU,2011,MEAC
FAMU,2012,MEAC
FAMU,2013,MEAC
FAMU,2014,MEAC
FAMU,2015,MEAC
FAMU,2016,MEAC
FAMU,2017,MEAC
FAMU,2018,MEAC
FAMU,2019,MEAC
FAMU,2020,MEAC
FAMU,2021,MEAC
FAMU,2022,MEAC
FAMU,2023,MEAC
FAMU,2024,MEAC
FAU,2010,CUSA
FAU,2011,CUSA
FAU,2012,CUSA
FAU,2013,CUSA
FAU,2014,CUSA
FAU,2015,CUSA
FAU,2016,CUSA
FAU,2017,CUSA
FAU,2018,CUSA
FAU,2019,CUSA
FAU,2020,CUSA
FAU,2021,CUSA
FAU,2022,CUSA
FAU,2023,CUSA
FAU,2024,CUSA
FGCU,2010,ASUN
FGCU,2011,ASUN
FGCU,2012,ASUN
FGCU,2013,ASUN
FGCU,2014,ASUN
FGCU,2015,ASUN
FGCU,2016,ASUN
FGCU,2017,ASUN
FGCU,2018,ASUN
FGCU,2019,ASUN
FGCU,2020,ASUN
FGCU,2021,ASUN
FGCU,2022,ASUN
FGCU,2023,ASUN
FGCU,2024,ASUN
FIU,2010,CUSA
FIU,2011,CUSA
FIU,2012,CUSA
FIU,2013,CUSA
FIU,2014,CUSA
FIU,2015,CUSA
FIU,2016,CUSA
FIU,2017,CUSA
FIU,2018,CUSA
FIU,2019,CUSA
FIU,2020,CUSA
FIU,2021,CUSA
FIU,2022,CUSA
FIU,2023,CUSA
FIU,2024,CUSA
Fairfield,2010,MAAC
Fairfield,2011,MAAC
Fairfield,2012,MAAC
Fairfield,2013,MAAC
Fairfield,2014,MAAC
Fairfield,2015,MAAC
Fairfield,2016,MAAC
Fairfield,2017,MAAC
Fairfield,2018,MAAC
Fairfield,2019,MAAC
Fairfield,2020,MAAC
Fairfield,2021,MAAC
Fairfield,2022,MAAC
Fairfield,2023,MAAC
Fairfield,2024,MAAC
Fairleigh Dickinson,2010,NEC
Fairleigh Dickinson,2011,NEC
Fairleigh Dickinson,2012,NEC
Fairleigh Dickinson,2013,NEC
Fairleigh Dickinson,2014,NEC
Fairleigh Dickinson,2015,NEC
Fairleigh Dickinson,2016,NEC
Fairleigh Dickinson,2017,NEC
Fairleigh Dickinson,2018,NEC
Fairleigh Dickinson,2019,NEC
Fairleigh Dickinson,2020,NEC
Fairleigh Dickinson,2021,NEC
Fairleigh Dickinson,2022,NEC
Fairleigh Dickinson,2023,NEC
Fairleigh Dickinson,2024,NEC
Florida,2010,SEC
Florida,2011,SEC
Florida,2012,SEC
Florida,2013,SEC
Florida,2014,SEC
Florida,2015,SEC
Florida,2016,SEC
Florida,2017,SEC
Florida,2018,SEC
Florida,2019,SEC
Florida,2020,SEC
Florida,2021,SEC
Florida,2022,SEC
Florida,2023,SEC
Florida,2024,SEC
Florida Gulf Coast,2010,ASUN
Florida Gulf Coast,2011,ASUN
Florida Gulf Coast,2012,ASUN
Florida Gulf Coast,2013,ASUN
Florida Gulf Coast,2014,ASUN
Florida Gulf Coast,2015,ASUN
Florida Gulf Coast,2016,ASUN
Florida Gulf Coast,2017,ASUN
Florida Gulf Coast,2018,ASUN
Florida Gulf Coast,2019,ASUN
Florida Gulf Coast,2020,ASUN
Florida Gulf Coast,2021,ASUN
Florida Gulf Coast,2022,ASUN
Florida Gulf Coast,2023,ASUN
Florida Gulf Coast,2024,ASUN
Florida State,2010,ACC
Florida State,2011,ACC
Florida State,2012,ACC
Florida State,2013,ACC
Florida State,2014,ACC
Florida State,2015,ACC
Florida State,2016,ACC
Florida State,2017,ACC
Florida State,2018,ACC
Florida State,2019,ACC
Florida State,2020,ACC
Florida State,2021,ACC
Florida State,2022,ACC
Florida State,2023,ACC
Florida State,2024,ACC
Fordham,2010,Atlantic 10
Fordham,2011,Atlantic 10
Fordham,2012,Atlantic 10
Fordham,2013,Atlantic 10
Fordham,2014,Atlantic 10
Fordham,2015,Atlantic 10
Fordham,2016,Atlantic 10
Fordham,2017,Atlantic 10
Fordham,2018,Atlantic 10
Fordham,2019,Atlantic 10
Fordham,2020,Atlantic 10
Fordham,2021,Atlantic 10
Fordham,2022,Atlantic 10
Fordham,2023,Atlantic 10
Fordham,2024,Atlantic 10
Fort Wayne,2010,Summit
Fort Wayne,2011,Summit
Fort Wayne,2012,Summit
Fort Wayne,2013,Summit
Fort Wayne,2014,Summit
Fort Wayne,2015,Summit
Fort Wayne,2016,Summit
Fort Wayne,2017,Summit
Fort Wayne,2018,Summit
Fort Wayne,2019,Summit
Fort Wayne,2020,Summit
Fort Wayne,2021,Summit
Fort Wayne,2022,Summit
Fort Wayne,2023,Summit
Fort Wayne,2024,Summit
Fresno State,2010,Mountain West
Fresno State,2011,Mountain West
Fresno State,2012,Mountain West
Fresno State,2013,Mountain West
Fresno State,2014,Mountain West
Fresno State,2015,Mountain West
Fresno State,2016,Mountain West
Fresno State,2017,Mountain West
Fresno State,2018,Mountain West
Fresno State,2019,Mountain West
Fresno State,2020,Mountain West
Fresno State,2021,Mountain West
Fresno State,2022,Mountain West
Fresno State,2023,Mountain West
Fresno State,2024,Mountain West
Furman,2010,Southern
Furman,2011,Southern
Furman,2012,Southern
Furman,2013,Southern
Furman,2014,Southern
Furman,2015,Southern
Furman,2016,Southern
Furman,2017,Southern
Furman,2018,Southern
Furman,2019,Southern
Furman,2020,Southern
Furman,2021,Southern
Furman,2022,Southern
Furman,2023,Southern
Furman,2024,Southern
Gardner-Webb,2010,Big South
Gardner-Webb,2011,Big South
Gardner-Webb,2012,Big South
Gardner-Webb,2013,Big South
Gardner-Webb,2014,Big South
Gardner-Webb,2015,Big South
Gardner-Webb,2016,Big South
Gardner-Webb,2017,Big South
Gardner-Webb,2018,Big South
Gardner-Webb,2019,Big South
Gardner-Webb,2020,Big South
Gardner-Webb,2021,Big South
Gardner-Webb,2022,Big South
Gardner-Webb,2023,Big South
Gardner-Webb,2024,Big South
George Mason,2010,Atlantic 10
George Mason,2011,Atlantic 10
George Mason,2012,Atlantic 10
George Mason,2013,Atlantic 10
George Mason,2014,Atlantic 10
George Mason,2015,Atlantic 10
George Mason,2016,Atlantic 10
George Mason,2017,Atlantic 10
George Mason,2018,Atlantic 10
George Mason,2019,Atlantic 10
George Mason,2020,Atlantic 10
George Mason,2021,Atlantic 10
George Mason,2022,Atlantic 10
George Mason,2023,Atlantic 10
George Mason,2024,Atlantic 10
George Washington,2010,Atlantic 10
George Washington,2011,Atlantic 10
George Washington,2012,Atlantic 10
George Washington,2013,Atlantic 10
George Washington,2014,Atlantic 10
George Washington,2015,Atlantic 10
George Washington,2016,Atlantic 10
George Washington,2017,Atlantic 10
George Washington,2018,Atlantic 10
George Washington,2019,Atlantic 10
George Washington,2020,Atlantic 10
George Washington,2021,Atlantic 10
George Washington,2022,Atlantic 10
George Washington,2023,Atlantic 10
George Washington,2024,Atlantic 10
Georgetown,2010,Big East
Georgetown,2011,Big East
Georgetown,2012,Big East
Georgetown,2013,Big East
Georgetown,2014,Big East
Georgetown,2015,Big East
Georgetown,2016,Big East
Georgetown,2017,Big East
Georgetown,2018,Big East
Georgetown,2019,Big East
Georgetown,2020,Big East
Georgetown,2021,Big East
Georgetown,2022,Big East
Georgetown,2023,Big East
Georgetown,2024,Big East
Georgia,2010,SEC
Georgia,2011,SEC
Georgia,2012,SEC
Georgia,2013,SEC
Georgia,2014,SEC
Georgia,2015,SEC
Georgia,2016,SEC
Georgia,2017,SEC
Georgia,2018,SEC
Georgia,2019,SEC
Georgia,2020,SEC
Georgia,2021,SEC
Georgia,2022,SEC
Georgia,2023,SEC
Georgia,2024,SEC
Georgia Southern,2010,Sun Belt
Georgia Southern,2011,Sun Belt
Georgia Southern,2012,Sun Belt
Georgia Southern,2013,Sun Belt
Georgia Southern,2014,Sun Belt
Georgia Southern,2015,Sun Belt
Georgia Southern,2016,Sun Belt
Georgia Southern,2017,Sun Belt
Georgia Southern,2018,Sun Belt
Georgia Southern,2019,Sun Belt
Georgia Southern,2020,Sun Belt
Georgia Southern,2021,Sun Belt
Georgia Southern,2022,Sun Belt
Georgia Southern,2023,Sun Belt
Georgia Southern,2024,Sun Belt
Georgia State,2010,Sun Belt
Georgia State,2011,Sun Belt
Georgia State,2012,Sun Belt
Georgia State,2013,Sun Belt
Georgia State,2014,Sun Belt
Georgia State,2015,Sun Belt
Georgia State,2016,Sun Belt
Georgia State,2017,Sun Belt
Georgia State,2018,Sun Belt
Georgia State,2019,Sun Belt
Georgia State,2020,Sun Belt
Georgia State,2021,Sun Belt
Georgia State,2022,Sun Belt
Georgia State,2023,Sun Belt
Georgia State,2024,Sun Belt
Georgia Tech,2010,ACC
Georgia Tech,2011,ACC
Georgia Tech,2012,ACC
Georgia Tech,2013,ACC
Georgia Tech,2014,ACC
Georgia Tech,2015,ACC
Georgia Tech,2016,ACC
Georgia Tech,2017,ACC
Georgia Tech,2018,ACC
Georgia Tech,2019,ACC
Georgia Tech,2020,ACC
Georgia Tech,2021,ACC
Georgia Tech,2022,ACC
Georgia Tech,2023,ACC
Georgia Tech,2024,ACC
Gonzaga,2010,WCC
Gonzaga,2011,WCC
Gonzaga,2012,WCC
Gonzaga,2013,WCC
Gonzaga,2014,WCC
Gonzaga,2015,WCC
Gonzaga,2016,WCC
Gonzaga,2017,WCC
Gonzaga,2018,WCC
Gonzaga,2019,WCC
Gonzaga,2020,WCC
Gonzaga,2021,WCC
Gonzaga,2022,WCC
Gonzaga,2023,WCC
Gonzaga,2024,WCC
Grambling,2010,SWAC
Grambling,2011,SWAC
Grambling,2012,SWAC
Grambling,2013,SWAC
Grambling,2014,SWAC
Grambling,2015,SWAC
Grambling,2016,SWAC
Grambling,2017,SWAC
Grambling,2018,SWAC
Grambling,2019,SWAC
Grambling,2020,SWAC
Grambling,2021,SWAC
Grambling,2022,SWAC
Grambling,2023,SWAC
Grambling,2024,SWAC
Grand Canyon,2010,WAC
Grand Canyon,2011,WAC
Grand Canyon,2012,WAC
Grand Canyon,2013,WAC
Grand Canyon,2014,WAC
Grand Canyon,2015,WAC
Grand Canyon,2016,WAC
Grand Canyon,2017,WAC
Grand Canyon,2018,WAC
Grand Canyon,2019,WAC
Grand Canyon,2020,WAC
Grand Canyon,2021,WAC
Grand Canyon,2022,WAC
Grand Canyon,2023,WAC
Grand Canyon,2024,WAC
Green Bay,2010,Horizon
Green Bay,2011,Horizon
Green Bay,2012,Horizon
Green Bay,2013,Horizon
Green Bay,2014,Horizon
Green Bay,2015,Horizon
Green Bay,2016,Horizon
Green Bay,2017,Horizon
Green Bay,2018,Horizon
Green Bay,2019,Horizon
Green Bay,2020,Horizon
Green Bay,2021,Horizon
Green Bay,2022,Horizon
Green Bay,2023,Horizon
Green Bay,2024,Horizon
Hampton,2010,Big South
Hampton,2011,Big South
Hampton,2012,Big South
Hampton,2013,Big South
Hampton,2014,Big South
Hampton,2015,Big South
Hampton,2016,Big South
Hampton,2017,Big South
Hampton,2018,Big South
Hampton,2019,Big South
Hampton,2020,Big South
Hampton,2021,Big South
Hampton,2022,Big South
Hampton,2023,Big South
Hampton,2024,Big South
Hartford,2010,America East
Hartford,2011,America East
Hartford,2012,America East
Hartford,2013,America East
Hartford,2014,America East
Hartford,2015,America East
Hartford,2016,America East
Hartford,2017,America East
Hartford,2018,America East
Hartford,2019,America East
Hartford,2020,America East
Hartford,2021,America East
Hartford,2022,America East
Hartford,2023,America East
Hartford,2024,America East
Harvard,2010,Ivy
Harvard,2011,Ivy
Harvard,2012,Ivy
Harvard,2013,Ivy
Harvard,2014,Ivy
Harvard,2015,Ivy
Harvard,2016,Ivy
Harvard,2017,Ivy
Harvard,2018,Ivy
Harvard,2019,Ivy
Harvard,2020,Ivy
Harvard,2021,Ivy
Harvard,2022,Ivy
Harvard,2023,Ivy
Harvard,2024,Ivy
Hawaii,2010,Big West
Hawaii,2011,Big West
Hawaii,2012,Big West
Hawaii,2013,Big West
Hawaii,2014,Big West
Hawaii,2015,Big West
Hawaii,2016,Big West
Hawaii,2017,Big West
Hawaii,2018,Big West
Hawaii,2019,Big West
Hawaii,2020,Big West
Hawaii,2021,Big West
Hawaii,2022,Big West
Hawaii,2023,Big West
Hawaii,2024,Big West
High Point,2010,Big South
High Point,2011,Big South
High Point,2012,Big South
High Point,2013,Big South
High Point,2014,Big South
High Point,2015,Big South
High Point,2016,Big South
High Point,2017,Big South
High Point,2018,Big South
High Point,2019,Big South
High Point,2020,Big South
High Point,2021,Big South
High Point,2022,Big South
High Point,2023,Big South
High Point,2024,Big South
Hofstra,2010,CAA
Hofstra,2011,CAA
Hofstra,2012,CAA
Hofstra,2013,CAA
Hofstra,2014,CAA
Hofstra,2015,CAA
Hofstra,2016,CAA
Hofstra,2017,CAA
Hofstra,2018,CAA
Hofstra,2019,CAA
Hofstra,2020,CAA
Hofstra,2021,CAA
Hofstra,2022,CAA
Hofstra,2023,CAA
Hofstra,2024,CAA
Holy Cross,2010,Patriot
Holy Cross,2011,Patriot
Holy Cross,2012,Patriot
Holy Cross,2013,Patriot
Holy Cross,2014,Patriot
Holy Cross,2015,Patriot
Holy Cross,2016,Patriot
Holy Cross,2017,Patriot
Holy Cross,2018,Patriot
Holy Cross,2019,Patriot
Holy Cross,2020,Patriot
Holy Cross,2021,Patriot
Holy Cross,2022,Patriot
Holy Cross,2023,Patriot
Holy Cross,2024,Patriot
Houston,2010,CUSA
Houston,2011,CUSA
Houston,2012,CUSA
Houston,2013,AAC
Houston,2014,AAC
Houston,2015,AAC
Houston,2016,AAC
Houston,2017,AAC
Houston,2018,AAC
Houston,2019,AAC
Houston,2020,AAC
Houston,2021,AAC
Houston,2022,AAC
Houston,2023,Big 12
Houston,2024,Big 12
Houston Baptist,2010,Southland
Houston Baptist,2011,Southland
Houston Baptist,2012,Southland
Houston Baptist,2013,Southland
Houston Baptist,2014,Southland
Houston Baptist,2015,Southland
Houston Baptist,2016,Southland
Houston Baptist,2017,Southland
Houston Baptist,2018,Southland
Houston Baptist,2019,Southland
Houston Baptist,2020,Southland
Houston Baptist,2021,Southland
Houston Baptist,2022,Southland
Houston Baptist,2023,Southland
Houston Baptist,2024,Southland
Howard,2010,MEAC
Howard,2011,MEAC
Howard,2012,MEAC
Howard,2013,MEAC
Howard,2014,MEAC
Howard,2015,MEAC
Howard,2016,MEAC
Howard,2017,MEAC
Howard,2018,MEAC
Howard,2019,MEAC
Howard,2020,MEAC
Howard,2021,MEAC
Howard,2022,MEAC
Howard,2023,MEAC
Howard,2024,MEAC
IUPUI,2010,Horizon
IUPUI,2011,Horizon
IUPUI,2012,Horizon
IUPUI,2013,Horizon
IUPUI,2014,Horizon
IUPUI,2015,Horizon
IUPUI,2016,Horizon
IUPUI,2017,Horizon
IUPUI,2018,Horizon
IUPUI,2019,Horizon
IUPUI,2020,Horizon
IUPUI,2021,Horizon
IUPUI,2022,Horizon
IUPUI,2023,Horizon
IUPUI,2024,Horizon
Idaho,2010,Big Sky
Idaho,2011,Big Sky
Idaho,2012,Big Sky
Idaho,2013,Big Sky
Idaho,2014,Big Sky
Idaho,2015,Big Sky
Idaho,2016,Big Sky
Idaho,2017,Big Sky
Idaho,2018,Big Sky
Idaho,2019,Big Sky
Idaho,2020,Big Sky
Idaho,2021,Big Sky
Idaho,2022,Big Sky
Idaho,2023,Big Sky
Idaho,2024,Big Sky
Idaho State,2010,Big Sky
Idaho State,2011,Big Sky
Idaho State,2012,Big Sky
Idaho State,2013,Big Sky
Idaho State,2014,Big Sky
Idaho State,2015,Big Sky
Idaho State,2016,Big Sky
Idaho State,2017,Big Sky
Idaho State,2018,Big Sky
Idaho State,2019,Big Sky
Idaho State,2020,Big Sky
Idaho State,2021,Big Sky
Idaho State,2022,Big Sky
Idaho State,2023,Big Sky
Idaho State,2024,Big Sky
Illinois,2010,Big Ten
Illinois,2011,Big Ten
Illinois,2012,Big Ten
Illinois,2013,Big Ten
Illinois,2014,Big Ten
Illinois,2015,Big Ten
Illinois,2016,Big Ten
Illinois,2017,Big Ten
Illinois,2018,Big Ten
Illinois,2019,Big Ten
Illinois,2020,Big Ten
Illinois,2021,Big Ten
Illinois,2022,Big Ten
Illinois,2023,Big Ten
Illinois,2024,Big Ten
Illinois State,2010,Missouri Valley
Illinois State,2011,Missouri Valley
Illinois State,2012,Missouri Valley
Illinois State,2013,Missouri Valley
Illinois State,2014,Missouri Valley
Illinois State,2015,Missouri Valley
Illinois State,2016,Missouri Valley
Illinois State,2017,Missouri Valley
Illinois State,2018,Missouri Valley
Illinois State,2019,Missouri Valley
Illinois State,2020,Missouri Valley
Illinois State,2021,Missouri Valley
Illinois State,2022,Missouri Valley
Illinois State,2023,Missouri Valley
Illinois State,2024,Missouri Valley
Illinois-Chicago,2010,Horizon
Illinois-Chicago,2011,Horizon
Illinois-Chicago,2012,Horizon
Illinois-Chicago,2013,Horizon
Illinois-Chicago,2014,Horizon
Illinois-Chicago,2015,Horizon
Illinois-Chicago,2016,Horizon
Illinois-Chicago,2017,Horizon
Illinois-Chicago,2018,Horizon
Illinois-Chicago,2019,Horizon
Illinois-Chicago,2020,Horizon
Illinois-Chicago,2021,Horizon
Illinois-Chicago,2022,Horizon
Illinois-Chicago,2023,Horizon
Illinois-Chicago,2024,Horizon
Indiana,2010,Big Ten
Indiana,2011,Big Ten
Indiana,2012,Big Ten
Indiana,2013,Big Ten
Indiana,2014,Big Ten
Indiana,2015,Big Ten
Indiana,2016,Big Ten
Indiana,2017,Big Ten
Indiana,2018,Big Ten
Indiana,2019,Big Ten
Indiana,2020,Big Ten
Indiana,2021,Big Ten
Indiana,2022,Big Ten
Indiana,2023,Big Ten
Indiana,2024,Big Ten
Indiana State,2010,Missouri Valley
Indiana State,2011,Missouri Valley
Indiana State,2012,Missouri Valley
Indiana State,2013,Missouri Valley
Indiana State,2014,Missouri Valley
Indiana State,2015,Missouri Valley
Indiana State,2016,Missouri Valley
Indiana State,2017,Missouri Valley
Indiana State,2018,Missouri Valley
Indiana State,2019,Missouri Valley
Indiana State,2020,Missouri Valley
Indiana State,2021,Missouri Valley
Indiana State,2022,Missouri Valley
Indiana State,2023,Missouri Valley
Indiana State,2024,Missouri Valley
Iona,2010,MAAC
Iona,2011,MAAC
Iona,2012,MAAC
Iona,2013,MAAC
Iona,2014,MAAC
Iona,2015,MAAC
Iona,2016,MAAC
Iona,2017,MAAC
Iona,2018,MAAC
Iona,2019,MAAC
Iona,2020,MAAC
Iona,2021,MAAC
Iona,2022,MAAC
Iona,2023,MAAC
Iona,2024,MAAC
Iowa,2010,Big Ten
Iowa,2011,Big Ten
Iowa,2012,Big Ten
Iowa,2013,Big Ten
Iowa,2014,Big Ten
Iowa,2015,Big Ten
Iowa,2016,Big Ten
Iowa,2017,Big Ten
Iowa,2018,Big Ten
Iowa,2019,Big Ten
Iowa,2020,Big Ten
Iowa,2021,Big Ten
Iowa,2022,Big Ten
Iowa,2023,Big Ten
Iowa,2024,Big Ten
Iowa State,2010,Big 12
Iowa State,2011,Big 12
Iowa State,2012,Big 12
Iowa State,2013,Big 12
Iowa State,2014,Big 12
Iowa State,2015,Big 12
Iowa State,2016,Big 12
Iowa State,2017,Big 12
Iowa State,2018,Big 12
Iowa State,2019,Big 12
Iowa State,2020,Big 12
Iowa State,2021,Big 12
Iowa State,2022,Big 12
Iowa State,2023,Big 12
Iowa State,2024,Big 12
Jackson State,2010,SWAC
Jackson State,2011,SWAC
Jackson State,2012,SWAC
Jackson State,2013,SWAC
Jackson State,2014,SWAC
Jackson State,2015,SWAC
Jackson State,2016,SWAC
Jackson State,2017,SWAC
Jackson State,2018,SWAC
Jackson State,2019,SWAC
Jackson State,2020,SWAC
Jackson State,2021,SWAC
Jackson State,2022,SWAC
Jackson State,2023,SWAC
Jackson State,2024,SWAC
Jacksonville,2010,ASUN
Jacksonville,2011,ASUN
Jacksonville,2012,ASUN
Jacksonville,2013,ASUN
Jacksonville,2014,ASUN
Jacksonville,2015,ASUN
Jacksonville,2016,ASUN
Jacksonville,2017,ASUN
Jacksonville,2018,ASUN
Jacksonville,2019,ASUN
Jacksonville,2020,ASUN
Jacksonville,2021,ASUN
Jacksonville,2022,ASUN
Jacksonville,2023,ASUN
Jacksonville,2024,ASUN
Jacksonville State,2010,Ohio Valley
Jacksonville State,2011,Ohio Valley
Jacksonville State,2012,Ohio Valley
Jacksonville State,2013,Ohio Valley
Jacksonville State,2014,Ohio Valley
Jacksonville State,2015,Ohio Valley
Jacksonville State,2016,Ohio Valley
Jacksonville State,2017,Ohio Valley
Jacksonville State,2018,Ohio Valley
Jacksonville State,2019,Ohio Valley
Jacksonville State,2020,Ohio Valley
Jacksonville State,2021,Ohio Valley
Jacksonville State,2022,Ohio Valley
Jacksonville State,2023,Ohio Valley
Jacksonville State,2024,Ohio Valley
James Madison,2010,CAA
James Madison,2011,CAA
James Madison,2012,CAA
James Madison,2013,CAA
James Madison,2014,CAA
James Madison,2015,CAA
James Madison,2016,CAA
James Madison,2017,CAA
James Madison,2018,CAA
James Madison,2019,CAA
James Madison,2020,CAA
James Madison,2021,CAA
James Madison,2022,CAA
James Madison,2023,CAA
James Madison,2024,CAA
Kansas,2010,Big 12
Kansas,2011,Big 12
Kansas,2012,Big 12
Kansas,2013,Big 12
Kansas,2014,Big 12
Kansas,2015,Big 12
Kansas,2016,Big 12
Kansas,2017,Big 12
Kansas,2018,Big 12
Kansas,2019,Big 12
Kansas,2020,Big 12
Kansas,2021,Big 12
Kansas,2022,Big 12
Kansas,2023,Big 12
Kansas,2024,Big 12
Kansas City,2010,Summit
Kansas City,2011,Summit
Kansas City,2012,Summit
Kansas City,2013,Summit
Kansas City,2014,Summit
Kansas City,2015,Summit
Kansas City,2016,Summit
Kansas City,2017,Summit
Kansas City,2018,Summit
Kansas City,2019,Summit
Kansas City,2020,Summit
Kansas City,2021,Summit
Kansas City,2022,Summit
Kansas City,2023,Summit
Kansas City,2024,Summit
Kansas State,2010,Big 12
Kansas State,2011,Big 12
Kansas State,2012,Big 12
Kansas State,2013,Big 12
Kansas State,2014,Big 12
Kansas State,2015,Big 12
Kansas State,2016,Big 12
Kansas State,2017,Big 12
Kansas State,2018,Big 12
Kansas State,2019,Big 12
Kansas State,2020,Big 12
Kansas State,2021,Big 12
Kansas State,2022,Big 12
Kansas State,2023,Big 12
Kansas State,2024,Big 12
Kennesaw State,2010,ASUN
Kennesaw State,2011,ASUN
Kennesaw State,2012,ASUN
Kennesaw State,2013,ASUN
Kennesaw State,2014,ASUN
Kennesaw State,2015,ASUN
Kennesaw State,2016,ASUN
Kennesaw State,2017,ASUN
Kennesaw State,2018,ASUN
Kennesaw State,2019,ASUN
Kennesaw State,2020,ASUN
Kennesaw State,2021,ASUN
Kennesaw State,2022,ASUN
Kennesaw State,2023,ASUN
Kennesaw State,2024,ASUN
Kent State,2010,MAC
Kent State,2011,MAC
Kent State,2012,MAC
Kent State,2013,MAC
Kent State,2014,MAC
Kent State,2015,MAC
Kent State,2016,MAC
Kent State,2017,MAC
Kent State,2018,MAC
Kent State,2019,MAC
Kent State,2020,MAC
Kent State,2021,MAC
Kent State,2022,MAC
Kent State,2023,MAC
Kent State,2024,MAC
Kentucky,2010,SEC
Kentucky,2011,SEC
Kentucky,2012,SEC
Kentucky,2013,SEC
Kentucky,2014,SEC
Kentucky,2015,SEC
Kentucky,2016,SEC
Kentucky,2017,SEC
Kentucky,2018,SEC
Kentucky,2019,SEC
